자전거대여소명,자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
대평동_해들205동,무인대여소,,세종특별자치시 대평동 266-26,36.47083688,127.2771108,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
보람동_해들510동,무인대여소,,세종특별자치시 보람동 733,36.474437,127.282393,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
보람동_호려울308동,무인대여소,,세종특별자치시 보람동 664-42,36.47727466,127.2832933,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
소담동_새샘201동,무인대여소,,세종특별자치시 소담동 32-14,36.481362,127.300929,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
종촌동_가재301동,무인대여소,,세종특별자치시 종촌동 680,36.505046,127.241516,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
어진동_엠브릿지,무인대여소,,세종특별자치시 어진동 510,36.50289499,127.258063,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
연기면_세종예술고,무인대여소,,세종특별자치시 연기면 세종리 548-87,36.49150284,127.270078,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
아름동_범지기1013동,무인대여소,,세종특별자치시 아름동 1242,36.51723777,127.2519979,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
아름동_범지기308동,무인대여소,,세종특별자치시 아름동 1297-1,36.51692624,127.2454456,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
아름동_범지기902동,무인대여소,,세종특별자치시 아름동 1282-1,36.51686076,127.2456831,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
아름동_영토프라자앞 로터리,무인대여소,,세종특별자치시 아름동 1332,36.5110083,127.2431716,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_가락2203동,무인대여소,,세종특별자치시 고운동 1387-1,36.5198586,127.2414173,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
반곡동_수루배601동,무인대여소,,세종특별자치시 반곡동 67-4,36.49385941,127.3187622,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_한마음정육식당,무인대여소,,세종특별자치시 고운동 2004,36.50040097,127.236325,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
나성동_독락정역사공원,무인대여소,,세종특별자치시 나성동 213-2,36.48470871,127.2665609,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_세종누리학교,무인대여소,,세종특별자치시 고운동 472,36.52553063,127.2425066,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
대평동_대평초등학교,무인대여소,,세종특별자치시 대평동 266-11,36.47032724,127.2779400318,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_싱싱장터1호점,무인대여소,,세종특별자치시 도담동 654,36.51563901,127.2609799,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_가락1914동,무인대여소,,세종특별자치시 고운동 667-1,36.522384,127.232504,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
도담동_라온프라이빗2차,무인대여소,,세종특별자치시 도담동 402,36.51380382,127.259194,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
반곡동_시드니블루,무인대여소,,세종특별자치시 반곡동 45-14,36.49805442,127.3117411,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
반곡동_반곡고등학교,무인대여소,,세종특별자치시 반곡동 64-11,36.49639641,127.3173327,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
보람동_여울초등학교,무인대여소,,세종특별자치시 보람동 700-86,36.476889,127.285486,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
해밀동_해밀138동,무인대여소,,세종특별자치시 해밀동 333,36.52503614,127.2675678,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
보람동_호려울 911동 앞,무인대여소,,세종특별자치시 보람동 774,36.481002,127.295035,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
집현동_새나루마을 1207동,무인대여소,,세종특별자치시 집현동 418-1,36.501811,127.325863,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
집현동_새나루마을1단지 정문앞 로터리,무인대여소,,세종특별자치시 집현동 883-148,36.48554457,127.3200165,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
대평동_세종고속시외버스터미널,무인대여소,,세종특별자치시 대평동 269-52,36.469257,127.2736619,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
금남면_산학연지원센터 북측.,무인대여소,,세종특별자치시 금남면 집현리 1060,36.499711,127.328621,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
금남면_산학연지원센터 남측.,무인대여소,,세종특별자치시 금남면 집현리 1008-5,36.49882045,127.3292682,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
어진동_기획재정부 정문,무인대여소,,세종특별자치시 어진동 712,36.50636897,127.2672558,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
아름동_범지기 501동 앞,무인대여소,,세종특별자치시 아름동 1346,36.50999497,127.245898,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_가락 1802동 앞,무인대여소,,세종특별자치시 고운동 907,36.5206431,127.2332834,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
고운동_가락 1806동 앞,무인대여소,,세종특별자치시 고운동 941,36.51989725,127.2337546,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
소담동_새샘 606동 앞,무인대여소,,세종특별자치시 소담동 28-1,36.484171,127.304708,00:00,23:59,연중무휴,유료,1000원,10,,N,,N,1899-9161,세종특별자치시청,2024-01-17,5690000,세종특별자치시
